id	ServiceCount	UniqueBeneficiaries	BeneficiaryServiceCount	TotalAllowed	TotalCharged	TotalPayment
20139	39203	9809	19417	1222707	1802028	907032
12093	227806	95382	182028	14859851	33740371	11485423
19109	30343	8810	16993	1128229	1640805	836944
30009	11853	2489	5242	391236	734130	300229
18121	45963	20106	35438	1432410	1882228	1031519
29099	455303	185294	308470	33789733	94422448	25867467
26033	169116	51222	82512	5982675	12335142	4588717
5021	18978	9423	18223	456571	798766	354689
20005	25811	9616	22400	1321949	2448055	963024
18017	194766	84586	184115	5663171	13569030	4414697
20157	32523	12981	22646	1170189	1685887	861157
12103	10654623	3304950	5675729	531174529	1223350917	414102827
36111	994765	323300	604289	44832857	97340645	34139989
20161	467923	174522	290454	20647102	51508191	15862045
40061	59805	13515	31818	1687109	2490172	1251382
48141	2859993	1156391	1884657	165248057	466747463	127424329
8005	5498314	1486958	2229608	155630139	399336216	122701668
5075	50043	15439	30102	1352086	2151176	1046355
27111	114971	51976	81749	5050537	11787116	3789215
39055	250593	134193	201122	16408288	41544488	12574365
48415	28512	4900	5970	713614	1841971	561000
20061	45202	19475	30007	2279663	5242700	1698854
8043	95919	40691	66464	5835055	13680551	4411639
37157	272154	126653	215015	14610030	28304569	10936841
13127	792722	423257	638518	49232073	150332176	38103717
1087	6641	3846	6425	296827	420972	217369
40151	26285	7823	16032	924802	1147773	673916
17059	6142	704	1050	200613	326765	159833
12021	6043525	1756055	2887941	291354697	692430609	226735659
16017	91973	40354	65383	4466018	9622131	3321408
6023	735914	286702	473099	36633419	82785490	27978283
26109	12174	5290	11683	422753	791865	303158
17185	22494	13598	22093	1092475	3644826	846701
5121	39754	23286	38491	1394893	3174007	1083403
17067	42973	10602	26566	1308936	2104436	987012
51033	23382	5262	7871	711997	1168642	538890
48387	34121	18251	31610	1438188	2959355	1115197
17093	209796	64778	129130	9780481	22053303	7566926
12101	3810460	1283569	2188896	192924689	435506621	149873481
38095	3885	1242	1854	150327	300318	114306
16023	3208	160	383	59673	66487	46810
35011	11741	3957	6848	284760	530468	231119
48151	1836	1056	1133	54846	192831	37616
17089	2987130	1008881	1697167	142021332	375256586	109584782
47157	10644194	4383593	6898629	421513034	1221317238	329996395
48219	29695	6494	17224	1112628	1603020	857249
13273	14582	4202	5067	419243	616087	322051
48071	11353	4713	7144	854675	2172799	673472
48357	15253	5329	10171	506486	642371	361059
30055	2843	648	1504	96536	123458	69271
34019	720823	248628	402642	35543250	94495094	27395929
34027	5295571	1987842	3488229	258320315	634929378	202298769
21209	64518	30483	51522	3780919	8949215	2802649
20125	200515	84860	151477	7522713	15517764	5618335
26025	1045604	478433	842416	48790380	110463592	37525533
30081	87835	37987	69101	3758192	6721324	2776098
6015	101957	46133	77671	6633406	12354992	5031990
48257	159398	82507	126188	7489680	20286237	5544395
30003	26865	6881	11328	992792	1926237	755391
47069	84658	24993	53887	2980179	5827589	2247029
45041	2371221	843198	1360930	106188663	267254721	82280073
36023	272303	172555	240968	12233592	33174042	9323734
54109	121353	14924	25708	2536811	5540637	2000445
48279	23161	4467	7707	733919	1345382	565939
38001	8498	5357	8441	482685	898883	359172
42017	7981488	1608471	2887876	208670409	475352116	164333484
30031	360769	131478	201357	14585434	33191976	11068291
17099	368363	170248	296126	22022669	53669440	16583739
40137	222037	93796	152230	10687607	24769252	8021852
47007	26785	5855	9231	711567	1716081	548576
37063	3422698	1469876	2074823	162375633	547143508	126586308
22071	713530	387468	607731	50645656	123282710	38564168
50007	1117392	505236	898949	54162161	176088696	41166204
21111	7542977	3173746	4931675	367311756	849515525	283361231
6057	524342	217316	383424	28993311	64717642	22051401
21161	156039	71511	108392	6789012	15181188	5152613
29167	183913	41527	71156	5012137	13294029	3846527
37087	382086	161229	240854	18414437	43924478	13982014
31167	3352	789	2143	103699	157389	77524
37095	10287	957	1908	230172	360106	180722
12127	6067785	1790279	3376701	224583673	564136772	175831820
6077	2094973	807939	1443796	132053069	328209441	101031135
37123	30992	16666	29330	986921	1943942	736120
31159	25043	4310	22498	814799	1214220	600650
18135	42267	9944	18363	1276579	2235578	985685
27063	18604	2549	6338	474560	627050	355671
51730	205681	68641	132117	10882605	23525725	8374393
18071	151721	66821	109180	7243041	16124857	5399747
35028	73475	36433	59696	4282026	8803086	3143240
29117	64993	12553	27193	1978831	3070820	1471041
72149	3747	1800	3670	70359	73220	56926
21141	70223	29802	59113	3399531	7411563	2572170
53071	316992	158091	236204	18245433	44712008	13951145
6109	329858	138215	245731	21377549	44383915	16227178
8071	26696	5382	12794	907649	1704122	710498
29125	25922	3220	5565	556144	830935	432025
51081	196495	43222	80826	5829210	10720334	4529690
31121	6484	2383	4874	191500	317343	153411
1009	80817	17826	29084	2511700	4327793	1906226
13119	129982	40558	68258	4329892	10306469	3283850
37027	176585	77423	127554	9109518	19625104	6780827
1037	11474	630	1823	376756	697426	297763
12071	11461833	3085123	5002401	561513982	1322564949	438850896
27051	4365	1035	2655	126461	214112	93479
42053	4842	1123	2065	205803	302713	146628
6075	970	554	920	88698	124195	65885
55013	17660	8476	15710	564699	1345137	419526
13211	19309	10248	19033	867012	1606149	622150
21013	180354	59585	112798	8095083	18798572	6118335
39131	37319	17730	29541	2372313	5501314	1756759
13145	23483	5893	11148	662485	946003	498087
33007	93973	24312	35815	3511237	6756491	2625296
33013	809603	356694	550624	47989837	129172019	36439623
29165	226244	132016	203943	12602057	23493355	9481037
19181	98191	39951	77743	3169513	5990864	2317497
45059	168322	70119	122000	10920548	22166098	8288673
16009	11260	3526	6532	449894	939287	351883
53039	7317	3869	7314	320262	695100	228585
26113	33951	8342	21070	962825	1475856	726689
54055	588416	240831	386155	30478653	75137238	23262477
37039	166613	71497	115628	6750027	14025934	5084469
8097	32964	15180	23932	1231524	3539634	938201
46129	7900	3292	7333	385970	632961	267997
46031	524	287	524	19461	73901	14103
27057	41413	24571	40628	1667419	5222625	1246826
29003	15736	4093	5652	596174	1211948	472138
17025	14468	7572	14194	731666	1543097	552892
5049	17812	8460	16259	708487	990341	511623
5003	85060	23483	44635	2801409	5050328	2140064
18161	3060	1561	3046	203818	308342	150425
56005	56594	28558	48831	2441450	5514993	1802139
48427	65597	18869	35919	2975112	7670311	2299290
28031	17154	7751	15779	570947	1025594	432540
4015	1613586	566591	948674	97368212	240677576	74401437
17197	3215049	1158241	2090135	169111746	425336168	130674311
29145	94840	25858	48872	3856205	6960857	2817730
50027	179591	54991	132239	6108683	11406467	4553757
13233	86805	41992	74259	2886789	5682201	2121558
41001	44594	16918	32800	2099868	3736325	1585231
29063	16509	1769	3099	373811	463733	298703
18025	16816	4874	7726	473911	822190	354213
20057	193408	75256	137973	8291212	22531667	6350688
21051	68902	23604	36633	3434374	8035555	2595539
48239	25065	4401	9472	811098	1310940	619510
28011	315802	83974	148044	10354729	22269755	8071674
18031	34114	16891	25708	1365784	2837621	1014883
21057	4304	1860	4247	224498	493420	175996
48237	8189	1686	3538	384354	948123	299805
22065	3613	1444	3176	180976	313861	140278
12086	13962017	5581878	9549381	745078472	1829454308	586497090
18167	1698143	644175	1088608	67822507	165257165	52580518
54089	40323	8282	14363	1379577	2688294	1064043
35045	393604	174691	293352	22830682	63084716	17382911
33005	250127	139216	197604	14254490	38310564	10685259
34033	257259	113505	201705	16587269	33254079	12699849
40035	28969	16252	26860	1780126	3532084	1273817
28057	64263	35165	56702	2043503	3411243	1500088
20033	4730	1166	1506	104228	127183	77190
6107	2379816	676602	1235869	113776524	219661959	88331376
28033	728636	311495	521353	30333337	100331258	23388408
29157	47869	8927	21549	2232601	6274951	1741513
45067	258900	62318	111640	9406210	22649300	7350406
35035	257654	92849	162829	14945842	48540469	11347979
13221	21071	4318	9629	458354	699865	366447
12069	8573060	2430178	4164756	283471363	586478544	223755335
17167	3436980	1473866	2162378	156778913	405933296	121539749
30067	18464	5122	13200	812557	1361048	601241
23017	135411	50982	87706	5711327	10046894	4282319
19007	26789	10978	24912	1169136	2380611	844272
72135	14767	4497	13814	335423	391578	265864
53049	55756	12580	27549	1908768	3061556	1472806
48101	2799	121	164	55648	118938	44468
1027	65150	22618	45570	2425348	3239338	1758383
9007	808788	391869	623680	47325419	127051424	35795848
40071	176318	71887	132379	10988527	23533947	8260406
17159	60853	25641	53845	2668465	5898233	1973601
30017	42761	19289	34471	1814053	3406966	1341633
13011	16806	6026	10450	541561	905893	406517
36061	16491196	6493079	10934458	1058774113	2980011817	823577618
24005	11228105	4708918	7498002	485921952	1208716790	383720780
39099	2429603	777266	1378596	105251283	236053010	81331350
46079	30757	17008	30197	1106678	1673073	823620
55125	38973	13806	29422	1444823	2641196	1083371
47039	112863	26094	69839	2598684	4878720	1983469
13209	358	333	358	6882	9273	6882
21237	30061	8217	15635	919720	2656255	702630
1097	3490277	1388764	2126099	168874045	366428937	129745791
31035	7067	1112	3952	213470	264912	160389
48343	23147	7078	19314	686212	1189892	500391
20149	23970	9129	21674	1059867	1576273	768021
51017	4594	2332	3316	201976	373834	155814
21017	51827	24350	39680	2392906	4496374	1792510
47189	581827	138942	244517	18400680	45774750	13968040
27169	82403	35256	61436	3881754	9138177	2811301
55093	50339	18788	34263	2507461	5769123	1848690
39041	284102	172156	255601	16842473	35037989	12713512
5019	52730	29632	49053	2360848	4360596	1677782
54073	17655	4359	10169	601742	863026	448295
51540	1151642	650171	837807	62018933	218490732	47646547
42085	543321	244580	404657	27319602	59071176	20682023
1017	104690	45239	73122	6019689	12366583	4515390
48325	79028	26967	45187	3030232	5486230	2276500
48433	3697	552	812	117912	239429	91351
40005	31606	6904	13199	905622	1370112	661261
48069	701	453	701	45337	102838	35486
17031	40065676	14858968	25900611	2034659023	5318372245	1579909833
40013	190067	86372	147756	10868710	24502060	8282050
50019	128612	25259	69550	3886128	7289941	2978697
27077	527	190	527	24811	50420	19121
27103	41530	20789	40230	1625683	3686723	1188151
13109	11253	2861	3518	451440	1186975	348019
1105	24035	1051	10271	343757	357179	270394
72123	12084	3407	8315	242940	256830	195624
13319	104077	8634	14040	2226292	3819343	1724373
50005	1390755	155627	1361183	7446947	11208121	6389060
36101	383255	170685	273013	18301842	47057156	13615388
53067	1251110	472986	756929	71927986	171088732	54939840
19059	64051	33126	60384	3050602	5054759	2198999
47171	63187	16596	34078	2417437	4829864	1819865
26005	94588	32270	66372	3144976	5624879	2367791
12051	71046	16377	30377	4646058	12182582	3574571
32023	94235	25054	47777	3708969	7085093	2801649
28061	3496	1919	3042	171312	521900	128068
48211	6621	3473	5387	342167	474543	241988
13061	8082	2630	4377	285795	891590	211642
20189	5814	2472	3843	257604	380986	196890
48495	6610	2129	2333	239460	1232442	182955
53005	1415030	561563	944905	68987655	162927104	53383392
13313	746048	330797	532629	34484440	98884089	26202424
51131	108878	65859	99414	5865365	11588452	4369029
51157	5917	2437	5561	348575	572108	249885
20097	755	568	747	38840	65478	29299
48461	993	454	917	51544	59508	40049
46073	2734	714	1290	84257	148546	67040
42049	1997746	860561	1469702	87319354	240108628	68079992
28043	299333	85115	164706	7242374	18962255	5492260
26015	115083	59448	100999	5924989	13368633	4447395
45081	8072	4410	6470	84768	244360	71463
48201	30663834	11741554	19323513	1275611791	4006053449	1005928700
48439	11554187	3402513	5726486	468738090	1361624456	363605348
39107	97252	39344	69867	4572812	8131201	3351070
8037	112267	47683	73300	5504186	17106613	4195214
48133	48364	18171	33563	1795360	3281354	1321779
35007	63083	22249	42556	2209648	4042288	1672473
1011	16564	5341	10167	718331	1278634	530414
18141	3353890	1011735	1663736	113254594	311633235	88080104
2020	1121542	396997	597758	67963612	248663944	52037548
36043	96293	30272	56381	4108513	7033554	3082994
37197	62327	18425	32593	2290304	3309333	1706357
6039	290934	100581	189390	14178336	28097892	10880978
56023	56158	15520	38666	2015531	3817474	1494647
48123	29277	13645	22630	1044757	2150849	817835
15003	3808737	1711322	2974266	171791925	399556547	131431266
28007	140641	58661	95013	4103171	8025606	3156453
13055	35884	15933	29586	1209952	2341593	856359
21081	53391	25777	45061	2129758	3850326	1481291
48391	506	389	506	28468	146818	20995
72097	152493	74841	125174	7746767	10091938	5990136
12109	1381156	552602	911787	75956430	185584719	58524668
